Id,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,SalePrice,MSZoning,Utilities,BldgType,KitchenQual,SaleCondition,LandSlope
1,7,2003,2003,856,856,1710,2,8,2,208500,RL,AllPub,1Fam,Gd,Normal,Gtl
2,6,1976,1976,1262,1262,1262,2,6,2,181500,RL,AllPub,1Fam,TA,Normal,Gtl
3,7,2001,2002,920,920,1786,2,6,2,223500,RL,AllPub,1Fam,Gd,Normal,Gtl
4,7,1915,1970,756,961,1717,1,7,3,140000,RL,AllPub,1Fam,Gd,Abnorml,Gtl
5,8,2000,2000,1145,1145,2198,2,9,3,250000,RL,AllPub,1Fam,Gd,Normal,Gtl
6,5,1993,1995,796,796,1362,1,5,2,143000,RL,AllPub,1Fam,TA,Normal,Gtl
7,8,2004,2005,1686,1694,1694,2,7,2,307000,RL,AllPub,1Fam,Gd,Normal,Gtl
8,7,1973,1973,1107,1107,2090,2,7,2,200000,RL,AllPub,1Fam,TA,Normal,Gtl
9,7,1931,1950,952,1022,1774,2,8,2,129900,RM,AllPub,1Fam,TA,Abnorml,Gtl
10,5,1939,1950,991,1077,1077,1,5,1,118000,RL,AllPub,2fmCon,TA,Normal,Gtl
11,5,1965,1965,1040,1040,1040,1,5,1,129500,RL,AllPub,1Fam,TA,Normal,Gtl
12,9,2005,2006,1175,1182,2324,3,11,3,345000,RL,AllPub,1Fam,Ex,Partial,Gtl
13,5,1962,1962,912,912,912,1,4,1,144000,RL,AllPub,1Fam,TA,Normal,Gtl
14,7,2006,2007,1494,1494,1494,2,7,3,279500,RL,AllPub,1Fam,Gd,Partial,Gtl
15,6,1960,1960,1253,1253,1253,1,5,1,157000,RL,AllPub,1Fam,TA,Normal,Gtl
16,7,1929,2001,832,854,854,1,5,2,132000,RM,AllPub,1Fam,TA,Normal,Gtl
17,6,1970,1970,1004,1004,1004,1,5,2,149000,RL,AllPub,1Fam,TA,Normal,Gtl
18,4,1967,1967,0,1296,1296,2,6,2,90000,RL,AllPub,Duplex,TA,Normal,Gtl
19,5,2004,2004,1114,1114,1114,1,6,2,159000,RL,AllPub,1Fam,Gd,Normal,Gtl
20,5,1958,1965,1029,1339,1339,1,6,1,139000,RL,AllPub,1Fam,TA,Abnorml,Gtl
21,8,2005,2006,1158,1158,2376,3,9,3,325300,RL,AllPub,1Fam,Gd,Partial,Gtl
22,7,1930,1950,637,1108,1108,1,6,1,139400,RM,AllPub,1Fam,Gd,Normal,Gtl
23,8,2002,2002,1777,1795,1795,2,7,2,230000,RL,AllPub,1Fam,Gd,Normal,Gtl
24,5,1976,1976,1040,1060,1060,1,6,2,129900,RM,AllPub,TwnhsE,TA,Normal,Gtl
